Movie_id,Title,Year,Genre,Director,Producer,Writer,Actress,Actor,MPAA,Rating
2381321,$5 a Day,2008,Drama,"Avalos, Luis","Burleson, Jim","Browder, Vic","Alhussiny, Lynda","Adams-Rice, Sequoyah",PG-13 ,6.4
2381338,$9.99,2008,Drama,"Ber, Josef","Ber, Josef","Ber, Josef","Karvan, Claudia","Ber, Josef",R ,6.7
2381358,$windle,2002,Thriller,"Cobden, Joe","Cobden, Joe","Cobden, Joe","Besso, Claudia","Blake, Barry",R ,5.5
2381398,'71,2014,Thriller,"Bolton, Lee","Bolton, Lee","Bolton, Lee","Ashton, Pamela","Anderson, Paul",R ,7.2
2381429,'A' gai wak,1983,Comedy,"Chan, Jackie","Camen, Joey","Camen, Joey","Forner, Lola","Bell, E.E.",PG-13 ,7.5
2381430,'A' gai wak 2,1987,Comedy,"Bee, Kenny","Chan, Anthony","Chan, Anthony","Cheung, Maggie","Bau, Wai-Leung",PG-13 ,7.2
2381751,'Master Harold' ... And the Boys,2010,Drama,"Gewer, Lance","Rhames, Ving","Keogh, Danny","Abrahams, Sheena","Africa, Mervyn",PG-13 ,5.7
2381907,'R Xmas,2001,Drama,Ice-T,"Fiscella, Andrew",Ice-T,"Ackerman, Anne","Acosta, Raul",R ,5.7
2382084,'Til There Was You,1997,Comedy,"Antin, Steve","Antin, Steve","Antin, Steve","Allen, Karen","Achorn, John",PG-13 ,4.7
2382212,(500) Days of Summer,2009,Drama,"Arend, Geoffrey","Anthony, Bryan","Arend, Geoffrey","Abarrca, Eileen","Anthony, Bryan",PG-13 ,7.8
2382400,(Untitled),2009,Drama,"Bailey, Eion","Bailey, Eion","Bailey, Eion","Barton-Farcas, Stephanie","Bailey, Eion",R ,6.4
2382897,0.45,2006,Thriller,"Gordon, John","Dorff, Stephen","Dorff, Stephen","Augustson, Nola","Bergschneider, Conrad",R ,5.7
2383475,10 Cent Pistol,2014,Thriller,"Arkin, Adam","Alexander, Damon","Arkin, Adam","Colella, Bridget","Alexander, Damon",R ,5
2383482,10 Days in a Madhouse,2015,Drama,"Dean, Kent","Dean, Kent","Dean, Kent","Ariza, Andrea Diaz","Ballantyne, David",R ,8.5
2383523,10 Items or Less,2006,Drama,"DeVito, Danny","DeVito, Danny","DeVito, Danny","Berardi, Alexandra","Calizo, Shawn",R ,6.7
2383647,10 Rules for Sleeping Around,2013,Comedy,"Abernathy, David","Abernathy, David","Abernathy, David","Allison, BettyLynn","Abernathy, David",R ,3.7
2383678,10 Things I Hate About You,1999,Drama,"Fraser, Cameron","Cease, Kyle","Cease, Kyle","Babin, Michelle","Bennett, Tim",PG-13 ,7.2
2383706,10 Years,2011,Drama,"Chase, Eriks","Andriole, David","Chase, Eriks","Baranova, Anastasia","Andriole, David",PG-13 ,6.1
2383732,"10,000 BC",2008,Drama,"Vaz, Joe","Curtis, Cliff","Khan, Marco","Belle, Camilla","Afrikaner, Steven",PG-13 ,5.1
2383771,10.000 Km,2014,Drama,"Weaver-Madsen, Dagmar","Weaver-Madsen, Dagmar","Verdaguer, David","Tena, Natalia","Verdaguer, David",R ,6.8
2383840,100 Feet,2008,Horror,"Fallon, John","Fallon, John","Fallon, John","Charbonneau, Patricia","Cannavale, Bobby",R ,5.5
2383845,100 Girls,2000,Comedy,"Michael, Terence","Bleiberg, Ehud","Michael, Terence","Anapau, Kristina","Bleiberg, Ehud",R ,5.9
2383904,100 Mile Rule,2002,Comedy,"Hudis, Stephen R.","Chinlund, Nick","McKean, Michael","Bello, Maria","Chinlund, Nick",R ,5.7
2383956,100 Tears,2007,Horror,"Davison, Joe","Cross, Tyler","Ciappetta, Kevin","Arner, Amanda","Allen, Jerry",NC-17 ,4.1
2384433,108 Stitches,2014,Comedy,"Davison, Bruce","Banks, David","Banks, David","Alcantara, Arni","Aguilera, Daniel",R ,7.6
2384486,10th & Wolf,2006,Thriller,"Bernard, Aaron","Bernard, Aaron","Cain, Atticus","Arvie, Michilline","Amen, Tony",R ,6.4
2384557,11 settembre 1683,2012,Drama,"Boguta, Dorian","Adamczyk, Piotr","Boguta, Dorian","Bachleda, Alicja","Abraham, F. Murray",R ,3.9
2384576,11-11-11,2011,Horror,"Curci, Loris","Curci, Loris","Curci, Loris","Alcoverro, Montse","Alba, Luis",PG-13 ,4
2384705,11:11,2004,Horror,"Sowerby, Jane","Adlard, Craig","Dzenkiw, Paul","Adamson, Amy","Adelberg, Raif",R ,3.7
2384713,11:14,2003,Drama,"Foster, Ben","Foster, Ben","Gomez, Rick","Cook, Rachael Leigh","Foster, Ben",R ,7.2
2384761,12,2007,Thriller,"Adabashyan, Aleksandr","Gazarov, Sergey","Adabashyan, Aleksandr","Khokhlova, Olga","Adabashyan, Aleksandr",PG-13 ,7.8
2384774,12 and Holding,2005,Drama,"Linn-Baker, Mark","Cuesta, Emilio","LeFevre, Adam","Atkinson, Jayne","Altman, Bruce",R ,7.6
2384808,12 Dogs of Christmas: Great Puppy Rescue,2012,Comedy,"Flanery, Sean Patrick","Cabarcas, Carlos A.","Flynn, Michael","Andrus, Sabrina","Baigue, Alexis",PG ,4.7
2384900,12 Rounds,2009,Thriller,"Albright, Luke","Albright, Luke","Albright, Luke","Adams, Julia","Albright, Luke",PG-13 ,5.6
2384903,12 Rounds 3: Lockdown,2015,Thriller,"Harrison, Matthew","Burkart, Jason","Burkart, Jason","Hojenski, Courtney","Burkart, Jason",R ,5.5
2384943,12 Years a Slave,2013,Drama,"Dillahunt, Garret","Brown, Marcus Lyle","Dylan, Andy","Bennett, Liza J.","Ament, Jason",R ,8.1
2384951,12-12-12,2013,Documentary,"Dempsey, Michael","Bon Jovi, Jon","Jagger, Mick","Keys, Alicia","Bon Jovi, Jon",R ,4.7
2384964,12/12/12,2012,Horror,"Avila, Adrian","Avila, Adrian","Avila, Adrian","Alig, Rachel","Anderson, Daniel",R ,1.7
2385032,127 Hours,2010,Thriller,"Brugge, Pieter Jan","Bear, Robert","Brugge, Pieter Jan","Burton, Kate","Ahn, Johnny",R ,7.6
2385098,13,2010,Thriller,50 Cent,50 Cent,50 Cent,"Atkinson, Ashlie",50 Cent,R ,6.1
2385128,13 Dead Men,2003,Crime,"Babb, Tim","Aguayo, Troy","Brewerton, Kevin","Hughes, Shalena","Aguayo, Troy",R ,1.9
2385143,13 game sayawng,2006,Horror,"Wongkrachang, Sarunyu","Ratipakorn, Warinya","Wongkrachang, Sarunyu","Bangsapan, Sananjit","Arunnate, Nattapong",R ,6.8
2385151,13 Going on 30,2004,Comedy,"Jobrani, Maz","Gaffigan, Jim","Ball, Sam","Abisinio, Nicole","Anderson, Timothy",PG-13 ,6.1
2385161,13 Hours in a Warehouse,2008,Horror,"Bonin, Chars","Bonin, Chars","Bonin, Chars","Batchelder, Kati","Bervig, Bennett",R ,4
2385164,13 Hrs,2010,Horror,"Felton, Tom","Lynch, John","Gadiot, Peter","Atkinson, Gemma","Bowman, Josh",R ,4.4
2385190,13 Moons,2002,Comedy,"Buscemi, Michael","Badalucco, Michael","Bunker, Edward","Beals, Jennifer","Badalucco, Michael",R ,5.8
2385217,13 Sins,2014,Horror,"Ashworth, Chris","Ashworth, Chris","Ashworth, Chris","Alger, Brittney","Anderson, Robert 'Ross'",R ,6.3
2385321,13th Child,2002,Horror,"Atkins, Christopher","Atkins, Christopher","Atkins, Christopher","Down, Lesley-Anne","Atkins, Christopher",R ,3
2385430,1408,2007,Horror,"Birchard, Paul","Birchard, Paul","Birchard, Paul","Alexander, Lily Grace","Armstrong, William",PG-13 ,6.8
2385477,1492: Conquest of Paradise,1992,Drama,"Botto, Juan Diego","Assante, Armand","Botto, Juan Diego","Molina, �ngela","Assante, Armand",PG-13 ,6.5
2385557,15 Minutes,2001,Thriller,"Brooks, Avery","Adway, Dwayne","Arnett, Peter","Abrusci, Christine","Adway, Dwayne",R ,6.1
2385701,16 Blocks,2006,Thriller,"Collier, Richard","Bey, Yasiin","Bey, Yasiin","Chong, Betty","Alachiotis, Nick",PG-13 ,6.6
2385733,16 Stones,2014,Adventure,"Bresnahan, Dave","Bresnahan, Dave","Bresnahan, Dave","Crockett, Marilee","Bascom, John A.",PG ,5.4
2385739,16 Years of Alcohol,2003,Drama,"McKidd, Kevin","Bremner, Ewen","Macleod, Lewis","Cooper, Lisa May","Anderson, Russell",R ,6.3
2385745,16-Love,2012,Comedy,"Coulouris, Keith","Alvarado, David Antonio","Cooke, Josh","Abrams, Sophie Rose","Aceron, Lindon",PG ,5.8
2385813,17 Again,2009,Drama,"Brixton, Jaymes","Ackerman, Ed","Ackerman, Ed","Blackburn, Liana","Ackerman, Ed",PG-13 ,6.4
2385841,17 Miracles,2011,Adventure,"Buster, Michael","Buster, Michael","Buster, Michael","Allen, Chandra","Bagley, Anson",PG ,6.2
2385888,1732 H�tten,1998,Thriller,"Fausa, Trond","Haldorsen, Halvard","Hennie, Aksel","Bruland, Beate","Br�nne, Trond",R ,6
2385898,1776,1972,Drama,"Cullum, John","Coster, Nicolas","Cullum, John","Danner, Blythe","Albin, Andy",PG ,7.6
2386102,18 Shades of Dust,2001,Drama,"Castelluccio, Federico","Aiello, Danny","Aiello, Danny","DiCicco, Jessica","Aiello, Danny",R ,4.6
2386327,19 Months,2002,Comedy,"Jones, Jason","Jones, Jason","Bobesich, Marqus","D'Orsay, Brooke","Bobesich, Marqus",R ,3.6
2386906,1982,2013,Drama,"Bianchi, David","Aaron, Quinton","Aaron, Quinton","Anthony, La La","Aaron, Quinton",R ,8
2387345,1999,1998,Drama,"Davis, Nick","Davis, Nick","Davis, Nick","Bailey, Gwendolyn","Citer, Leonid",R ,4.9
2387602,2 Bedroom 1 Bath,2014,Horror,"Bravo, Al","Bravo, Al","Bravo, Al","Bush, Shoshana","Boffin, Lucas",R ,4.4
2387684,2 Days in New York,2012,Drama,"Baker, Dylan","Baker, Dylan","Barrish, Seth","Burton, Kate","Baker, Dylan",R ,6
2387686,2 Days in the Valley,1996,Drama,"Cruttwell, Greg","Aiello, Danny","Aiello, Danny","Benson, Deborah","Aiello, Danny",R ,6.5
2387712,2 Fast 2 Furious,2003,Thriller,"Etebari, Eric","Barry, Thom","Boone Junior, Mark","Agosto, Limary","Auyeung, Jin",PG-13 ,5.8
2387761,2 Guns,2013,Thriller,"Cintron, Joseph","Adam, Mark","Alvarez, Adam","Bentley, Bonnie","Adam, Mark",R ,6.8
2388156,20 Dates,1998,Comedy,"Ardavany, Tom","Ardavany, Tom","Ardavany, Tom","Arlook, Emily","Ardavany, Tom",R ,5.3
